Year,County,Municipality,DEC ID,Facility Name,SIC Code,VOC (tons),NOx (tons),CO (tons),CO2 (tons),Particulates (tons),PM10 (tons),PM2.5 (tons),HAPS (tons),SO2 (tons),Location
2017,ONONDAGA,MANLIUS,7313800015,L & J G STICKLEY INC,2511,49.88,7.84,9.6,1216,5.94,0,4.94,0.01,0.4,POINT (-75.9804 43.00234)
2011,MADISON,LINCOLN,7253800011,MADISON COUNTY LANDFILL,4953,1.05,0.17,0.84,2105.88,0.73,0.73,0.01,0.16,0.31,POINT (-75.74985 43.0604)
2010,NEW YORK,MANHATTAN (6201),2620100045,RACHEL BRIDGE CORP,6513,0.44,18.24,1.94,9878.2,0,0,0,0,18.28,POINT (-74.00601 40.7145)
2014,MONTGOMERY,MOHAWK,4273200014,KEYMARK CORP PLANT,3354,11.31,21.8,18.27,26164.22,6.56,0.87,4.9,0.62,0.13,POINT (-75.00465 43.01129)
2015,QUEENS,QUEENS (6302),2630200012,TALLMAN ISLAND WASTEWATER TREATMENT PLANT,4952,0.1,2.88,0.98,749.75,0.23,0.23,0,0,1.9,POINT (-73.82999 40.714)
2020,QUEENS,LONG ISLAND CITY,2630401378,RAVENSWOOD STEAM PLANT,4961,0.04,0.62,0.25,593.44,0.08,0.01,0.07,0,0.6,POINT (-73.94103 40.75072)
2022,ALBANY,GLENMONT,4012200027,CITGO HOLDING TERMINALS LLC GLENMONT TERMINAL,5171,32.65,1.11,2.6,3852.84,6.11,6.1,0,1.31,3.05,POINT (-73.77026 42.60476)
2012,NEW YORK,MANHATTAN (6202),2620200106,RIVERSIDE PARK COMMUNITY LLC,6513,0.32,15.4,1.4,7174.56,1.02,1.02,0.38,0,13.19,POINT (-74.00601 40.7145)
2019,TOMPKINS,ITHACA,7500700030,CORNELL UNIVERSITY CENTRAL ENERGY PLANT,8221,3.48,34.41,15.34,174052.54,0.01,0.08,4.33,0.08,9.02,POINT (-76.49546 42.44051)
2020,ORLEANS,ALBION,8342000010,SAINT-GOBAIN ADFORS AMERICA INC,2396,65.08,8.45,7.03,10028.53,0.64,0.63,0,0,0.05,POINT (-78.19375 43.24613)
2014,MONROE,ROCHESTER,8261400311,BUCKEYE ROCHESTER SOUTH TERMINAL,4226,33.42,0,0,0,0,0,0,0,0,POINT (-77.61632 43.1558)
2017,SUFFOLK,ISLIP,1472800628,BLYDENBURGH ROAD LANDFILL,4953,0.28,2.36,3.94,4687.84,0.66,0,0.66,0.31,5.78,POINT (-73.218 40.72817)
2011,ONONDAGA,VAN BUREN,7315600030,SUNOCO SYRACUSE TED PARK TERMINAL,5171,59.2,0.18,0.04,6.78,0.01,0.01,0.01,0,0.01,POINT (-76.30215 43.11368)
2020,KINGS,BROOKLYN,2610700079,NYC-TA CONEY ISLAND YARD,4111,17.42,4.9,3.99,5647.7,0.15,0.04,0.11,0,0.04,POINT (-73.99036 40.69245)
2016,SUFFOLK,HAUPPAUGE,1473402330,ALADDIN PACKAGING LLC,2671,31.07,0.71,0.59,841.35,0.05,0.05,0,0,0,POINT (-73.20342 40.82523)
2018,SCHENECTADY,SCHENECTADY,4421500054,GENERAL ELECTRIC STEAM TURBINE GENERATOR GLOBAL,3511,10.38,13.48,15.51,22129.98,1.53,0.01,1.4,0,0.11,POINT (-73.94122 42.81238)
2018,NIAGARA,MODEL CITY,9292400016,MODERN LANDFILL INC,4953,36.8,0.04,0.01,182.23,0,0,0,0,0,POINT (-78.98365 43.18506)
2013,KINGS,BROOKLYN (6101),2610100042,CON EDISON - HUDSON AVE STATION,4911,0.32,4.3,0.49,1423.1,0.52,0.52,0.09,0,0.4,POINT (-73.99036 40.69245)
2010,ERIE,TONAWANDA,9146400090,NOCO ENERGY CORP,5171,11.54,4.81,4.01,5742.31,0.37,0.37,0.36,0,0.1,POINT (-78.88617 43.01888)
2013,BRONX,BRONX (6005),2600500125,BRONX ZOO,8422,0.35,36.91,5.73,23462.49,0.55,0.55,0.42,0,0.09,POINT (-73.92309 40.826)
2014,WASHINGTON,GRANVILLE,5533200025,MANCHESTER WOOD INC,2511,15.21,0.25,0.13,223.58,0.87,0.06,0.01,0,1.85,POINT (-73.26576 43.40466)
2017,LIVINGSTON,PIFFARD,8245200008,TGP COMPRESSOR STATION 233,4922,0.01,0.26,0.04,1203.9,0,0,0,0,0.01,POINT (-77.85233 42.8284)
2012,NEW YORK,MANHATTAN (6204),2620400037,CON ED-EAST 60TH STREET STEAM PLANT,4961,10.38,344.42,158.99,225906.82,14.47,14.4,14.21,0,1.12,POINT (-74.00601 40.7145)
2017,MONTGOMERY,FONDA,4273200014,KEYMARK CORP PLANT,3354,6.07,20.75,17.43,24897.56,5.99,0.65,5.33,0.54,0.12,POINT (-74.3745 42.95452)
2011,QUEENS,QUEENS (6307),2630700290,LONG ISLAND JEWISH MEDICAL CENTER-QUEENS,8062,6.29,17.65,24.34,26890.44,2.27,1.36,1.02,0,4.18,POINT (-73.82999 40.714)
2015,KINGS,BROOKLYN (6101),2610100042,CON EDISON - HUDSON AVE STATION,4911,0.22,1.91,0.23,580.71,0.25,0.18,0.04,0,0.18,POINT (-73.99036 40.69245)
2014,SUFFOLK,HUNTINGTON,1472600130,NORTHPORT POWER STATION,4911,62.89,1051.11,1182.4,1816284.34,235.52,179.32,32.19,0,1692.66,POINT (-73.42913 40.8722)
2014,ROCKLAND,STONY POINT,3392800030,STONY POINT FACILITY,3275,0,0,0,0,0,0,0,0,0,POINT (-74.00764 41.23448)
2010,WESTCHESTER,BEDFORD,3552000007,BEDFORD HILLS CORRECTIONAL FACILITY,9223,2.71,26.89,31.94,47664.75,3,2.98,2.66,0,4.67,POINT (-73.6438 41.20809)
2021,ROCKLAND,STONY POINT,3392800030,STONY POINT FACILITY,3275,0,0,0,0,0,0,0,0,0,POINT (-74.00764 41.23448)
2017,WESTCHESTER,BUCHANAN,3552200087,CONTINENTAL BUCHANAN LLC,3275,5.47,21.51,103.73,64890.54,72.64,2.12,0.25,0,0.94,POINT (-73.93944 41.26097)
2020,ALBANY,ALBANY,4010100426,ALBANY LANDFILL GAS TO ENERGY FACILITY,4911,0,0,0,0,0,0,0,0,0,POINT (-73.75521 42.65155)
2013,SUFFOLK,BROOKHAVEN,1472200030,BROOKHAVEN LANDFILL,4953,1.21,4.1,1.5,31593.71,4.64,4.64,0.01,1.68,140.09,POINT (-72.91224 40.7737)
2011,NIAGARA,NIAGARA FALLS,9291100078,GLOBE METALLURGICAL INC,3339,71.52,410.12,465.08,224284.59,293.33,5.35,1.13,10.57,601.98,POINT (-79.05551 43.096)
2019,NEW YORK,NEW YORK,2620500246,NYU CENTRAL PLANT,8221,1.02,37.42,51.39,72197.24,0,1.11,3.42,0,1.09,POINT (-74.00712 40.71453)
2011,NEW YORK,MANHATTAN (6202),2620200181,LE PARKER MERIDIEN-109 WEST 56TH ST,7011,0.25,12.32,1.12,5686.89,0.82,0.82,0.3,0,10.55,POINT (-74.00601 40.7145)
2013,BRONX,BRONX (6007),2600700259,NYC-DOC - RIKERS ISLAND,9223,2.18,17.11,17.7,25776.91,1.75,1.75,1.72,0,3.65,POINT (-73.92309 40.826)
2022,ROCKLAND,PEARL RIVER,3392400025,PEARL RIVER CAMPUS LLC,6512,4.8,85.31,28.12,99165.53,2.78,0.02,2.76,0.05,0.72,POINT (-74.0243 41.05985)
2013,BRONX,BRONX (6001),2600100028,TRACEY TOWERS,6513,1.73,14.6,3.34,9903.1,2.26,0.19,0.17,0,0.13,POINT (-73.92309 40.826)
2017,ONONDAGA,SYRACUSE,7311500204,SYRACUSE UNIVERSITY - STEAM STATION,8221,9.05,58.04,44.71,62430.76,4.24,0,4.22,0,0.59,POINT (-76.14738 43.05042)
2018,QUEENS,FLUSHING,2630600071,QUEENS FRESH MEADOWS FACILITY,6514,0.66,7.27,13.22,18131.23,1.62,0.49,1.13,0,0.29,POINT (-73.83004 40.76358)
2022,CHEMUNG,ELMIRA HEIGHTS,8070400036,ANCHOR GLASS CONTAINER CORP,3221,38.52,350.61,35.16,77381.2,55.84,41.81,13.97,5.62,152.98,POINT (-76.82701 42.12825)
2015,FULTON,JOHNSTOWN,5172800005,FULTON COUNTY MUD RD SANITARY LANDFILL,4953,1.47,0,0,2879.57,0,0,0,0.23,0,POINT (-74.36846 43.00655)
2014,OSWEGO,VOLNEY,7355800013,OSWEGO CO ENERGY RECOVERY FAC,4953,0.07,170.58,0.71,34203.42,0.71,0.64,0.01,0,13.02,POINT (-76.35699 43.34275)
2013,QUEENS,QUEENS (6304),2630401378,RAVENSWOOD STEAM PLANT,4961,1.81,70.29,12.91,80140.38,7.54,7.54,6.25,0,67.78,POINT (-73.82999 40.714)
2013,FULTON,JOHNSTOWN,5172800005,FULTON COUNTY MUD RD SANITARY LANDFILL,4953,2.08,0.33,0.07,2235.86,0.03,0.03,0.02,0.19,0.59,POINT (-74.36846 43.00655)
2011,WESTCHESTER,MOUNT PLEASANT,3553400075,LANDMARK @ EASTVIEW,6512,1.51,12.64,10.08,14278.2,1.5,1.49,0.9,0,0.85,POINT (-73.86152 41.16287)
2012,NASSAU,HEMPSTEAD,1282000553,EF BARRETT POWER STATION,4911,20.29,805.45,551.66,802261.34,55.23,55.1,35.58,0,4.12,POINT (-73.62194 40.7101)
2020,ERIE,EDEN,9144000034,TENNESSEE GAS PIPELINE CO COMPRESSOR STATION 229,4922,5.77,83.42,34.44,6137.92,2.32,2.32,0,0.01,0.03,POINT (-78.88597 42.66683)
2020,WESTCHESTER,YONKERS,3551800222,SAINT JOHN'S RIVERSIDE HOSPITAL,8062,0.1,5.6,1.95,5325.16,1.55,0,1.55,0,0.09,POINT (-73.89874 40.93299)
2019,GENESEE,BATAVIA,8180200045,BATAVIA POWER PLANT,4911,0.09,6.38,1.03,5086.49,0,0.28,0,0,0.15,POINT (-78.18838 42.99842)
2014,ORANGE,GOSHEN,3333000037,ORANGE COUNTY SANITARY LANDFILL,4953,11.52,1.03,0.22,105.55,0.08,0.07,0.01,0.71,1.07,POINT (-74.31657 41.40683)
2017,ERIE,CHAFFEE,9146200001,CHAFFEE LANDFILL,4953,25.05,101.73,194.54,68232.5,1.42,0,1.42,0.71,50.2,POINT (-78.47755 42.5701)
2016,ROCKLAND,HILLBURN,3392600059,HILLBURN SUBSTATION,4911,0,1.03,0.24,342.23,0.02,0,0.02,0,0.01,POINT (-74.16934 41.12496)
2016,WYOMING,SILVER SPRINGS,9563200010,INDECK-SILVER SPRINGS ENERGY CENTER,4911,1.19,36.7,3.59,46616.54,0.28,0,0.28,0,0.24,POINT (-78.08568 42.66164)
2011,ALBANY,BETHLEHEM,4012200004,OWENS-CORNING INSULATING SYSTEMS- FEURA BUSH,3296,48.3,55.32,145.68,19235.7,118.98,0.4,0,0.61,6.14,POINT (-73.83926 42.61989)
2014,ONTARIO,SENECA,8324400004,ONTARIO CO LANDFILL,4953,19.36,0.12,0.08,9594.35,0,0,0,0.84,0.01,POINT (-77.05335 42.80424)
2013,DELAWARE,SIDNEY,4125000018,AMPHENOL CORP - AEROSPACE OPERATIONS,3471,2.53,17.89,2.16,10330.38,5.05,4.93,0.13,1.69,70.13,POINT (-75.38934 42.31297)
2011,SUFFOLK,BABYLON,1472003061,PINELAWN POWER,4911,0.94,3.78,13.24,52264.19,5.12,5.12,2.94,0,0.28,POINT (-73.32601 40.69573)
2014,ERIE,BUFFALO,9140200021,AURUBIS BUFFALO INC,3351,7.71,27.3,1167.33,42006.84,8.7,0.87,2.98,0.05,0.23,POINT (-78.87846 42.88545)
2010,KINGS,BROOKLYN (6102),2610200086,NARROWS GENERATING STATION,4911,2,345.54,73.41,113050.92,7.68,6.98,6.41,0,10.73,POINT (-73.99036 40.69245)
2017,COLUMBIA,RIDERS MILLS,4102600037,COMPRESSOR STATION 254,4922,21.22,120.19,93.04,30986.91,7.24,0,0.1,0,0.67,POINT (-73.564 42.48092)
2010,NASSAU,HEMPSTEAD,1282000457,HOFSTRA UNIVERSITY,8221,1.05,115.43,50.15,22816.55,4.99,4.98,0.77,0,2.32,POINT (-73.62194 40.7101)
2019,ERIE,TONAWANDA,9146400030,SUMITOMO RUBBER USA LLC,3011,80.89,29.04,23.32,33348.11,0.01,0,2.29,1.03,0.18,POINT (-78.88617 43.01888)
2019,QUEENS,LONG ISLAND CITY,2630100005,STEINWAY & SONS - QUEENS FACILITY,3931,14.82,2.75,2.24,3299.2,0,0,0.21,0.79,0.02,POINT (-73.94103 40.75072)
2011,NEW YORK,MANHATTAN (6205),2620600012,CON ED-EAST RIVER GENERATING STATION,4911,82.71,1010.88,600.82,2201456.19,114.19,113.65,109.9,0,50.34,POINT (-74.00601 40.7145)
2021,ERIE,TONAWANDA,9146400030,SUMITOMO RUBBER USA LLC,3011,88.88,40.27,24.14,33640.74,3.6,0,3.59,8.98,0.18,POINT (-78.88617 43.01888)
2016,CAYUGA,AUBURN,7050100042,AUBURN SANITARY LANDFILL NO 2,4953,2.22,11.05,39.9,10163.59,1.14,1.07,0.07,0.37,0.56,POINT (-76.56591 42.92936)
2011,WAYNE,LYONS,8542800006,SILGAN CONTAINERS CORP - LYONS PLANT,3411,26.98,0.73,1.22,1895.58,0.2,0.11,0.11,0,0.01,POINT (-76.99217 43.06049)
2011,KINGS,BROOKLYN (6101),2610100025,NEWTOWN CREEK WASTEWATER TREATMENT PLANT,4952,4.03,14.22,14.92,22765.6,3.9,3.89,0.14,1.06,10.85,POINT (-73.99036 40.69245)
2010,KINGS,BROOKLYN (6103),2610300158,NEW YORK METHODIST HOSPITAL,8062,7.67,29.99,30.86,13991.04,0.98,0.91,0.82,0,1.27,POINT (-73.99036 40.69245)
2010,SUFFOLK,BABYLON,1472000777,BABYLON RESOURCE RECOVERY FACILITY,4953,0.03,177.51,35.97,107340.46,1.47,0.03,0,47.24,54.89,POINT (-73.32601 40.69573)
2013,NASSAU,HEMPSTEAD,1282004508,EQUUS FREEPORT POWER GENERATING STATION,4911,3.99,6.27,6.02,67688.95,0.76,0.76,0.47,0,0.34,POINT (-73.62194 40.7101)
2018,SUFFOLK,EDGEWOOD,1472803244,EDGEWOOD ENERGY LLC,4911,0.6,6.43,10.6,68032.83,3.78,0,3.78,0,0.34,POINT (-74.21237 42.14037)
2019,SUFFOLK,HOLTSVILLE,1472200105,HOLTSVILLE GT FACILITY,4911,0.04,75.55,0.67,26190.44,3.6,1.25,0.61,0,0.12,POINT (-73.04096 40.81487)
2016,BROOME,ENDICOTT,7034600160,HURON CAMPUS,6512,1.56,52.97,29.11,41367.36,2.69,0,2.68,0,0.26,POINT (-76.04571 42.09971)
2015,BROOME,"NANTICOKE, BARKER",7039900027,BROOME COUNTY LANDFILL,4953,13.5,0,0,0,0,0,0,0.55,0,POINT (-76.05409 42.2748)
2012,SCHUYLER,DIX,8442400001,CARGILL SALT CO- WATKINS GLEN PLANT,2899,1.2,186.16,34.38,8382,30.25,30.25,23.76,72.65,892.53,POINT (-76.8904 42.32902)
2011,FRANKLIN,CHATEAUGAY,5163400022,REENERGY CHATEAUGAY LLC,4911,5.74,131.66,182.33,131880.32,155.42,94.91,0.02,0,5.76,POINT (-74.08016 44.92649)
2017,ONEIDA,AVA,6302400025,WM ONEIDA HERKIMER RENEWABLE ENERGY FACILITY,4911,0.48,31.72,117.09,31677.43,6.57,0,0,1.07,29.3,POINT (-75.47957 43.41872)
2019,SUFFOLK,HOLTSVILLE,1472200574,"HOLTSVILLE TERMINAL, NORTHVILLE IND CORP",5171,39.77,0.39,4.1,876.31,0,0,0,0,0,POINT (-73.04096 40.81487)
2017,ONTARIO,CANANDAIGUA,8322400108,PACTIV LLC,3086,314.47,3.42,2.76,3787.81,8.93,1.64,7.28,0,0.03,POINT (-77.28094 42.88809)
2010,ERIE,BUFFALO,9140200696,UNICELL BODY COMPANY INC,3713,10.65,0.2,0.16,236.36,1.11,0.01,0.01,0,0,POINT (-78.87846 42.88545)
2012,ESSEX,TICONDEROGA,5154800008,INTERNATIONAL PAPER TICONDEROGA MILL,2611,114.5,613.03,606.92,690880.37,256.09,226.82,184.83,5.59,1073.54,POINT (-73.42423 43.84879)
2015,ERIE,TONAWANDA,9146400090,NOCO ENERGY CORP - TONAWANDA,5171,9.98,0.17,0.08,6689.71,0.43,0.01,0.42,0,0,POINT (-78.88617 43.01888)
2017,NIAGARA,LOCKPORT,9290900107,VANDEMARK CHEMICAL INC,2869,1.1,0.29,150.78,2979.58,0.22,0,0.21,0.79,0.04,POINT (-78.69511 43.16926)
2016,QUEENS,QUEENS,2630401377,VERNON BLVD PLANT,4911,0.29,3.59,2.6,29976.72,1.74,0,1.74,0,0.14,POINT (-73.82999 40.714)
2018,NASSAU,GLENWOOD LANDING,1282200481,GLENWOOD COMBUSTION TURBINE FACILITY,4911,0.01,19.01,0.11,5336.63,0.66,0.29,0.36,0,0.03,POINT (-73.64261 40.83002)
2018,JEFFERSON,RODMAN,6225200018,INNOVATIVE DANC,4911,5.7,26.46,113.25,20462.9,1.22,0.64,0.58,2.35,26.12,POINT (-75.94078 43.85022)
2012,ORANGE,NEW WINDSOR,3334800111,GLOBAL COMPANIES LLC - NEWBURGH TERMINAL,5171,61.05,0.04,0.03,48.27,0,0,0,0,0.02,POINT (-74.02274 41.47742)
2020,MONROE,BERGEN,8264800014,MILL SEAT LANDFILL,4953,5.73,104.12,206.92,103255.83,7.14,0,7.14,3.54,6.07,POINT (-77.94359 43.08145)
2022,QUEENS,FLORAL PARK,2630700339,N SHORE TOWERS APT TOTAL ENERGY PLANT,6513,17.88,37.05,31.93,22224.41,2.56,0.11,2.44,5.04,0.09,POINT (-73.70576 40.72364)
2012,TOMPKINS,LANSING,7503200017,BORG WARNER MORSE TEC INC,3714,2.93,15.23,47.38,154.17,4.11,1.01,0.91,0,0.21,POINT (-76.48795 42.48713)
2014,NASSAU,HEMPSTEAD,1282000652,BAY PARK SEWAGE TREATMENT PLANT,4952,26.38,219.22,32.26,35543.62,2.68,1.88,0.8,0,9.33,POINT (-73.62194 40.7101)
2022,ORANGE,NEW WINDSOR,3334800197,GLOBAL COMPANIES - SOUTH TERMINAL,5171,0.93,0.03,0.03,16.9,0,0,0,0.09,0,POINT (-74.02274 41.47742)
2015,OSWEGO,FULTON,7350400012,SPEAR USA,2759,7.67,2.02,1.7,2426.25,0.15,0.15,0,0,0.01,POINT (-76.41527 43.32201)
2021,NASSAU,GARDEN CITY,1282001015,NASSAU ENERGY LLC,4911,3.73,230.92,21.49,188750.25,1.18,0.84,0.34,1.76,5.69,POINT (-73.63509 40.72645)
2013,SUFFOLK,ISLIP,1472803067,BRENTWOOD PLANT,4911,0.9,4.11,1.84,47029.7,5.65,2.84,2.84,0,0.26,POINT (-73.218 40.72817)
2012,WASHINGTON,EASTON,5532600004,HOLLINGSWORTH & VOSE-EASTON MILL,2621,9.77,16.75,5.86,1.13,1.28,0,0,0,0.1,POINT (-73.55234 42.99341)
2014,DUTCHESS,EAST FISHKILL,3132800025,GLOBALFOUNDRIES EAST FISHKILL FACILITY-HUDSON VALLEY RESEARCH PARK,3674,16.52,26.38,46,66748.08,11.24,0.09,4.13,2.66,4.81,POINT (-73.79569 41.55343)
2018,SUFFOLK,YAPHANK,1472200799,BROOKHAVEN LANDFILL GAS RECOVERY FACILITY,4911,0,0,0,0,0,0,0,0,0,POINT (-72.93457 40.84232)
2014,ALLEGANY,INDEPENDENCE,9026000009,INDEPENDENCE STATION,4922,51.52,9.75,58.08,8364.78,0.77,0,0.77,0,0.05,POINT (-77.78023 42.08803)
2011,ONONDAGA,LAFAYETTE,7313400022,TENNESSEE GAS PIPELINE CO - COMP STA 241,4922,67.73,60.93,96.01,36077.34,18.14,18.14,11.36,0,0.2,POINT (-76.1052 42.89229)
2018,RENSSELAER,RENSSELAER,4381400003,CENEX TERMINALS,5171,51.53,0.17,0.03,115.09,0.01,0.01,0,0,0.04,POINT (-73.74127 42.64472)
2019,ST LAWRENCE,OGDENSBURG,6401200053,OGDENSBURG ENERGY FACILITY,4931,0.33,7.96,6.52,9360,0,0,0.59,0,0.05,POINT (-75.48994 44.69424)
2013,NASSAU,NORTH HEMPSTEAD,1282200248,NORTH SHORE UNIVERSITY HOSPITAL,8062,0.51,8.07,7.45,10179.82,0.72,0.72,0.61,0,0.09,POINT (-73.69935 40.79657)
2010,ALBANY,BETHLEHEM,4012200027,CITGO PETROLEUM GLENMONT TERMINAL,5171,46.66,0.04,0.01,19.1,0,0,0,0,0.12,POINT (-73.83926 42.61989)
2011,ONONDAGA,DEWITT,7312600127,CARR STREET GENERATING STATION,4911,0.33,2.67,2.74,10080.15,0.61,0.61,0.61,0,0.04,POINT (-76.06548 43.03507)
2020,NASSAU,LAWRENCE,1282001549,SHELL OIL PRODUCTS US - LONG ISLAND TERMINAL,5171,30.58,0,0,0,0,0,0,0,0,POINT (-73.73663 40.61364)
2021,WASHINGTON,CENTER FALLS,5533400006,HOLLINGSWORTH & VOSE GREENWICH MILL,2621,7.45,4.21,3.52,5105.7,0.32,0,0.32,6.25,0.03,POINT (-73.45845 43.09924)
2011,KINGS,BROOKLYN (6107),2610700079,NYC-TA CONEY ISLAND YARD,4111,39.03,7.54,3.42,1805.3,0.61,0.61,0.07,0,6.88,POINT (-73.99036 40.69245)
2018,WYOMING,SILVER SPRINGS,9563200010,INDECK-SILVER SPRINGS ENERGY CENTER,4911,0.7,33.96,4.96,44954.51,0.25,0,0.25,0,0.23,POINT (-78.08568 42.66164)
2013,SCHOHARIE,COBLESKILL,4432600017,MILL SERVICES INC,2431,50.09,11.64,14.26,0,14.92,14.92,0,0,0.59,POINT (-74.48317 42.6782)
2015,RICHMOND,"6403, 6404",2649900029,NYCDOS - FRESH KILLS LANDFILL,4953,6.07,11.62,13.41,24166.58,3.1,2.91,0,0.04,0.49,
2016,MONROE,SCOTTSVILLE,8265600008,MONROE LIVINGSTON SANITARY LANDFILL,4953,26.32,29.59,22.74,5659.99,2.32,0,2.32,0,0.74,POINT (-77.74907 43.01972)
2015,NIAGARA,NIAGARA FALLS,9291100112,OCCIDENTAL CHEMICAL CORP - NIAGARA PLANT,2812,0.28,1.39,0.63,2073.01,7.23,5.9,0.03,7.21,0.06,POINT (-79.05551 43.096)
2017,ONONDAGA,GEDDES,7313200007,CRUCIBLE INDUSTRIES,3312,1.22,22.18,18.63,255,4.2,1.67,0.02,0,0.13,POINT (-76.23995 43.08983)
2014,ERIE,BUFFALO,9140200435,PVS CHEMICAL SOLUTIONS INC,2819,0.24,4.92,4.13,7596.9,0.43,0.19,0.19,0.01,163.13,POINT (-78.87846 42.88545)
2021,QUEENS,ASTORIA,2630100006,CON ED - ASTORIA FACILITY,4911,3.65,12.98,16.3,7856.54,0.89,0.87,0,0.13,0.04,POINT (-73.93014 40.77205)
2017,ERIE,BUFFALO,9146400048,TONAWANDA ENGINE PLANT-GENERAL MOTORS POWERTRAIN,3714,4.07,13.66,6.31,16529.41,3.04,1.75,1.08,0,0.21,POINT (-78.87846 42.88545)
2011,ROCKLAND,RAMAPO,3392600059,ALLIANCE ENERGY- HILLBURN GAS TURBINE FACILITY,4911,0.01,0.7,0.01,249.48,0.02,0.02,0.02,0,0,POINT (-74.16848 41.14121)
2012,LIVINGSTON,YORK,8245200008,TGP COMPRESSOR STATION 233,4922,0.06,2.7,0.75,2685.55,0.18,0.17,0.17,0,0.02,POINT (-77.88091 42.88047)
2022,SUFFOLK,SOUTHOLD,1473800455,SOUTHOLD GT FACILITY,4911,0.01,4.95,0.03,1512.74,0.19,0.08,0.1,0,0.01,POINT (-72.42815 41.06424)
2011,BROOME,UNION,7034600160,HURON CAMPUS,6512,2.29,60.87,31.71,44245.01,3.08,3.07,3.04,0,1.54,POINT (-76.06886 42.15132)
2022,SUFFOLK,HOLTSVILLE,1472200926,RICHARD M FLYNN POWER PLANT,4931,2.92,142.9,1.05,359963.29,4.97,0.04,2,3.14,2.09,POINT (-73.04096 40.81487)
2011,LEWIS,LOWVILLE,6233600028,FIBERMARK NORTH AMERICA INC,2672,14.54,3.5,2.89,1581.6,0.27,0.27,0.1,0,0.24,POINT (-75.49047 43.78695)
2012,NIAGARA,NORTH TONAWANDA,9291200059,FORTISTAR NORTH TONAWANDA INC,4911,0.96,31.21,17.39,38473.71,2.48,2.46,2.26,0,1.27,POINT (-78.86952 43.02968)
2012,BRONX,BRONX (6003),2600300038,RIVERBAY CORP-CO-OP CITY,6513,5.08,64.17,79.51,112186.61,7.5,6.84,6.68,0,2.94,POINT (-73.92309 40.826)
2014,BROOME,"NANTICOKE, BARKER",7039900027,BROOME COUNTY LANDFILL,4953,13.02,0.06,0.03,58.2,0,0,0,0.58,0,POINT (-76.05409 42.2748)
2020,ST LAWRENCE,CANTON,6403000002,CORNING INCORPORATED - CANTON PLANT,3229,0.95,310.51,3.95,14412.25,9.79,1.45,8.2,0.86,0.25,POINT (-75.16983 44.59994)
2017,NIAGARA,NIAGARA FALLS,9291100111,DUREZ NIAGARA,2821,1.14,6.94,1.74,5922.38,2.73,0.82,0,0,0.03,POINT (-79.05551 43.096)
2010,BRONX,BRONX (6002),2600200465,EASTCHESTER HEIGHTS,6513,0.49,23.33,2.12,10942.55,4.24,0.05,0,0,19.98,POINT (-73.92309 40.826)
2022,NIAGARA,BARKER,9293800003,SOMERSET OPERATING COMPANY LLC,4911,0,0,0,0,0,0,0,0,0,POINT (-75.95296 42.31881)
2014,OSWEGO,OSWEGO,7354200024,SOUTH OSWEGO TERMINAL,5171,0,0,0,0,0,0,0,0,0,POINT (-76.51119 43.45646)
2011,COLUMBIA,CHATHAM,4102600037,COMPRESSOR STATION 254,4922,14.25,50.56,52.88,23985.91,3.8,3.8,3.8,0,0.56,POINT (-73.59502 42.36373)
2021,ERIE,BUFFALO,9140200574,FLEXO TRANSPARENT LLC (CP Buffalo),2751,12.76,2.85,2.22,3441.14,0.22,0.2,0.02,0,0.02,POINT (-78.87846 42.88545)
2021,ALBANY,FEURA BUSH,4012200004,OWENS-CORNING INSULATING SYSTEMS- FEURA BUSH,3296,55.96,79.54,172.99,60973.45,126.54,13.21,113.31,4.13,1.56,POINT (-73.87971 42.57756)
2013,CHEMUNG,ELMIRA,8070400036,ANCHOR GLASS CONTAINER CORP,3221,30.47,524.7,35.57,109363.81,595.55,595.55,292.52,4.13,399.35,POINT (-76.79893 42.09064)
2020,NASSAU,FREEPORT,1282000358,FREEPORT POWER PLANT #2,4911,0.66,1.27,2.71,6573.52,0.16,0.04,0.12,0,0.03,POINT (-73.58749 40.65931)
2021,KINGS,BROOKLYN,2610100071,GREENPOINT ENERGY CTR,4923,0.39,4.51,1.3,430.85,0.07,0,0.07,0,0,POINT (-73.99036 40.69245)
2018,NIAGARA,LOCKPORT,9292000008,TENNESSEE GAS PIPELINE CO COMPRESSOR STATION 230-C,4922,1.24,50.92,43.67,75955.93,4.71,0,4.36,0,0.67,POINT (-78.69511 43.16926)
2022,QUEENS,ASTORIA,2630100084,NYPA - Astoria Campus,4911,11.81,80.36,11.86,1118243.76,58.13,0.01,57.22,9.56,6.01,POINT (-73.93014 40.77205)
2014,SARATOGA,WATERFORD,5415400002,MOMENTIVE PERFORMANCE MATERIALS,2821,31.18,203.01,97.25,138795.9,20.04,1.66,8.8,9.99,0.72,POINT (-73.67934 42.79051)
2022,ROCKLAND,CHESTNUT RIDGE,3392600729,STRIDES PHARMA INC,2834,7.69,2.72,2.18,3096.58,0.23,0.04,0.2,0.1,0.02,POINT (-74.04569 41.10163)
2018,WESTCHESTER,YONKERS,3551800342,YONKERS JOINT WWTP,4952,24.95,10.28,31.2,12844.5,1.68,0.15,1.01,0,0.34,POINT (-73.89874 40.93299)
